CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,5,1,1,1,1,0,0,0,-96,1,6,1,3019170874,0,84,0,0,11609.3,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 -8 16 -7 17 -7 17 -6 18 -6 16 -5 17 -4 17 -4 17 -3 18 -3 18 -2 18 -2 18 -2 18 -2 17 -1 18 -2 16 -1 17 -1 16 -1 17 -1 16 -1 16 -1 16 -1 15 -1 16 -1 15 -1 0 0 15 -1 16 -2 15 -2 15 -3 14 -2 15 -2 15 -2 14 -3 15 -3 14 -4 14 -4 14 -4 14 -4 14 -4 14 -5 14 -5 15 -6 13 -6 14 -5 14 -6 14 -6 14 -6 15 -7 14 -7 14 -6 14 -7 0 0 0 0 0 0 0 0 0 0 ],1717575982.8878825
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019173005,0,84,0,0,11609.3,384,[84 -64 4 0 0 0 0 0 0 0 0 0 2 -19 3 -19 3 -20 4 -19 5 -20 5 -18 6 -18 5 -18 6 -18 7 -18 7 -18 7 -17 7 -17 7 -18 7 -17 8 -17 7 -16 7 -16 7 -15 7 -16 7 -15 7 -16 7 -15 7 -15 7 -15 6 -15 0 0 6 -15 6 -15 5 -15 5 -15 5 -15 5 -15 5 -15 4 -15 4 -15 3 -16 3 -15 3 -15 3 -16 3 -15 3 -16 2 -16 2 -17 2 -16 2 -16 1 -16 1 -16 1 -17 1 -17 1 -17 1 -17 0 -16 0 0 0 0 0 0 0 0 0 0 ],1717575982.9038856
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019181418,0,84,0,0,11609.3,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 15 9 15 9 16 8 17 8 17 7 16 6 17 6 17 5 17 6 18 5 17 5 17 5 18 4 17 4 17 3 17 4 17 4 16 3 16 3 17 3 16 3 16 3 15 3 15 3 16 4 15 0 0 4 15 4 15 4 15 5 14 4 14 5 14 5 14 5 14 5 14 6 13 6 13 6 13 7 14 7 13 7 13 7 13 8 13 8 12 8 13 8 12 8 13 8 13 9 13 9 13 9 13 9 12 0 0 0 0 0 0 0 0 0 0 ],1717575982.9181452
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019190043,0,84,0,0,11609.3,384,[84 -64 4 0 0 0 0 0 0 0 0 0 1 18 0 18 -1 19 -1 19 -2 19 -3 18 -3 18 -4 18 -4 18 -4 18 -4 18 -5 17 -5 18 -5 17 -5 17 -6 17 -5 16 -5 16 -5 16 -6 16 -6 16 -6 16 -5 15 -5 15 -5 16 -5 15 0 0 -5 15 -5 15 -4 15 -4 15 -4 15 -4 15 -4 15 -3 14 -3 16 -2 15 -2 15 -2 15 -2 15 -1 15 -1 15 -1 15 0 15 0 15 0 15 0 15 0 15 0 16 0 16 1 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0 ],1717575982.933762
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019200800,0,84,0,0,11609.3,384,[84 -64 4 0 0 0 0 0 0 0 000 ],1717575982.9381742
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019327699,0,84,0,0,11609.4,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -3 -20 -2 -19 -2 -20 -1 -20 -1 -21 0 -19 1 -19 1 -19 2 -19 2 -20 2 -19 2 -19 2 -19 3 -19 3 -18 3 -19 3 -17 3 -18 3 -17 4 -17 4 -17 3 -18 3 -17 2 -17 3 -17 2 -16 0 0 2 -16 2 -17 2 -16 1 -17 1 -16 1 -16 1 -17 1 -16 1 -16 0 -16 -1 -16 -1 -16 -1 -16 -1 -16 -2 -16 -2 -16 -2 -17 -2 -16 -3 -16 -3 -16 -3 -16 -3 -17 -4 -17 -4 -17 -4 -17 -4 -16 0 0 0 0 0 0 0 0 0 0 ],1717575982.9548802
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019337292,0,84,0,0,11609.4,384,[84 -64 4 0 0 0 0 0 0 0 0 0 14 -13 14 -12 15 -12 15 -11 16 -12 15 -10 16 -9 16 -9 17 -9 16 -9 16 -8 16 -8 17 -8 17 -8 16 -7 17 -7 15 -7 16 -7 15 -6 15 -6 16 -6 15 -6 15 -7 14 -7 15 -7 14 -7 0 0 14 -7 15 -7 14 -7 14 -8 13 -7 14 -7 14 -7 13 -8 14 -8 13 -9 12 -9 12 -9 13 -9 12 -9 12 -10 12 -10 13 -11 11 -10 12 -10 11 -11 12 -11 12 -11 12 -12 11 -12 11 -11 12 -11 0 0 0 0 0 0 0 0 0 0 ],1717575982.971453
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019348882,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 11 11 11 12 12 11 13 10 13 9 12 9 12 8 12 9 13 9 13 8 13 8 13 7 13 8 14 7 13 8 13 7 13 7 13 7 12 7 13 7 13 6 13 6 12 7 12 6 13 6 11 0 0 7 12 7 12 7 11 8 11 7 11 7 11 7 11 7 10 8 11 8 10 8 10 8 9 9 10 9 9 9 9 9 9 10 9 10 9 10 9 10 8 10 9 10 9 10 9 11 8 10 9 10 8 0 0 0 0 0 0 0 0 0 0 ],1717575982.9856753
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019359405,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 18 6 16 6 18 8 16 8 18 9 15 8 16 9 15 10 15 10 15 11 15 11 14 11 14 11 14 12 13 11 14 11 12 10 14 11 12 10 13 11 12 11 13 11 12 11 12 10 12 11 12 10 0 0 12 9 13 10 12 8 14 9 12 8 13 8 13 9 13 8 13 8 14 8 13 7 13 7 14 7 13 6 15 6 13 5 15 6 14 5 14 5 14 5 14 5 15 5 16 5 15 5 15 5 15 4 0 0 0 0 0 0 0 0 0 0 ],1717575983.0005498
CSI_DATA,AP,B0:A7:32:D7:5B:54,-41,11,1,4,1,1,1,1,0,0,0,-96,1,6,1,3019375347,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 5 17 5 17 5 18 4 19 3 19 2 17 2 18 1 17 1 18 1 18 1 18 0 19 0 18 0 18 -1 18 0 18 -1 16 -1 16 0 16 -1 16 -1 16 -1 17 -1 16 0 15 0 16 0 15 0 0 0 16 1 16 1 15 2 15 1 15 1 15 2 15 2 14 2 15 3 13 4 14 3 14 4 15 4 14 4 14 4 14 5 15 5 13 4 13 6 13 5 14 6 13 6 14 7 13 6 14 7 13 0 0 0 0 0 0 0 0 0 0 ],1717575983.0149555
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019379081,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 6 -16 6 -16 6 -17 5 -17 5 -16 4 -16 3 -17 3 -17 3 -17 3 -17 2 -17 2 -17 2 -17 2 -17 1 -16 1 -16 1 -16 1 -16 1 -16 1 -16 1 -15 1 -15 1 -15 1 -15 1 -15 1 0 0 -15 1 -14 2 -15 2 -14 2 -14 2 -14 2 -14 2 -14 3 -14 3 -14 3 -14 4 -14 4 -14 4 -14 4 -13 4 -13 5 -13 5 -13 5 -13 5 -13 6 -13 5 -13 6 -13 6 -13 7 -13 6 -13 7 0 0 0 0 0 0 0 0 0 0 ],1717575983.0309365
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019388259,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 16 9 16 9 16 8 17 8 17 6 16 6 17 6 17 6 17 5 18 4 17 4 18 4 17 4 18 3 17 3 17 3 16 4 16 3 16 3 16 3 16 3 16 3 15 3 16 3 16 3 15 0 0 4 15 4 15 4 15 4 14 5 14 5 14 5 14 5 14 5 14 5 14 6 14 6 14 6 14 7 13 7 13 7 13 8 13 8 13 8 13 8 13 8 13 8 13 8 13 9 13 9 13 9 13 0 0 0 0 0 0 0 0 0 0 ],1717575983.0450869
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019402223,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -15 -13 -15 -13 -16 -13 -16 -12 -17 -11 -16 -10 -16 -10 -16 -10 -17 -10 -17 -9 -17 -9 -17 -9 -18 -8 -18 -8 -17 -8 -17 -7 -16 -7 -16 -7 -17 -7 -17 -7 -17 -7 -17 -7 -16 -7 -16 -7 -16 -7 -16 0 0 -7 -15 -7 -15 -7 -15 -8 -15 -8 -14 -8 -15 -8 -15 -8 -14 -8 -14 -9 -13 -9 -13 -9 -13 -10 -13 -10 -13 -10 -13 -10 -13 -11 -13 -10 -12 -11 -12 -11 -12 -11 -13 -12 -13 -12 -13 -12 -12 -12 -12 -12 -12 0 0 0 0 0 0 0 0 0 0 ],1717575983.0636318
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019407372,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -19 0 -19 0 -20 -1 -20 -2 -20 -3 -18 -2 -19 -3 -18 -4 -19 -4 -19 -5 -18 -5 -19 -5 -18 -6 -19 -6 -18 -6 -18 -6 -17 -5 -17 -5 -17 -6 -17 -6 -16 -6 -17 -6 -16 -5 -16 -5 -16 -6 -16 -5 0 0 -16 -5 -16 -4 -16 -4 -16 -4 -15 -4 -16 -4 -16 -3 -16 -3 -16 -2 -16 -2 -16 -2 -16 -2 -16 -2 -16 -1 -16 -1 -16 0 -17 0 -16 0 -16 0 -16 1 -16 0 -17 1 -17 1 -17 1 -17 1 -17 1 0 0 0 0 0 0 0 0 0 0 ],1717575983.0809047
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019424705,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 9 -14 9 -16 9 -16 8 -16 8 -15 7 -16 7 -16 6 -16 6 -17 6 -16 5 -17 5 -16 5 -17 5 -16 4 -16 4 -15 4 -16 4 -15 4 -15 4 -15 4 -15 4 -15 4 -15 4 -15 4 -14 4 0 0 -14 5 -14 5 -13 5 -14 5 -13 5 -13 5 -14 6 -13 6 -13 6 -13 6 -13 7 -13 7 -13 7 -12 7 -12 7 -11 8 -12 8 -11 8 -11 9 -11 9 -11 9 -12 9 -12 9 -11 9 -11 9 -11 9 0 0 0 0 0 0 0 0 0 0 ],1717575983.0968156
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019433105,0,84,0,0,11609.5,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 -7 -16 -7 -16 -8 -16 -9 -16 -9 -15 -9 -15 -9 -14 -10 -14 -10 -14 -10 -14 -11 -14 -11 -14 -11 -13 -11 -13 -11 -13 -12 -12 -11 -12 -10 -12 -11 -12 -11 -12 -10 -12 -11 -11 -10 -12 -10 -12 -10 -12 -10 0 0 -12 -10 -12 -10 -12 -9 -12 -9 -12 -9 -12 -8 -12 -9 -12 -8 -12 -9 -13 -7 -13 -7 -13 -7 -13 -7 -13 -6 -13 -7 -13 -7 -13 -6 -13 -6 -13 -5 -13 -5 -14 -5 -14 -6 -14 -5 -14 -5 -14 -6 -15 -5 0 0 0 0 0 0 0 0 0 0 ],1717575983.1152442
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019438940,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 4 16 3 16 3 16 2 17 2 18 1 16 0 16 0 16 -1 17 -1 17 -1 16 -1 16 -2 16 -2 16 -2 16 -2 16 -3 15 -2 15 -3 15 -3 15 -3 15 -3 15 -3 14 -2 14 -2 15 -2 14 0 0 -2 14 -2 14 -2 14 -1 14 -1 14 -1 14 -1 14 -1 13 -1 14 0 14 0 14 0 14 0 14 1 14 1 14 1 14 2 14 2 13 1 13 2 13 2 14 2 14 2 14 3 14 2 14 3 14 0 0 0 0 0 0 0 0 0 0 ],1717575983.1303103
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,5,1,1,1,1,0,0,0,-96,1,6,1,3019451555,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 5 17 5 18 6 17 7 17 7 16 7 15 8 15 8 15 9 15 9 15 9 15 10 15 10 14 10 14 10 14 10 13 9 13 10 13 9 12 10 12 10 13 10 12 10 13 9 13 9 12 9 0 0 12 9 13 8 13 8 13 7 12 8 13 8 13 8 12 7 13 6 13 6 14 5 13 5 14 5 14 5 13 5 14 5 15 5 14 4 14 4 14 4 14 5 14 5 15 3 15 3 15 3 15 3 0 0 0 0 0 0 0 0 0 0 ],1717575983.1449916
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,5,1,1,1,1,0,0,0,-96,1,6,1,3019462232,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -11 -11 -12 -13 -13 -12 -13 -12 -14 -10 -13 -10 -13 -10 -14 -9 -14 -10 -15 -9 -15 -9 -15 -9 -15 -9 -15 -8 -14 -9 -15 -8 -14 -8 -13 -7 -13 -7 -14 -7 -14 -7 -14 -7 -13 -7 -13 -8 -14 -8 -12 0 0 -8 -12 -8 -12 -9 -12 -9 -12 -8 -11 -8 -11 -8 -12 -9 -11 -9 -11 -10 -11 -10 -11 -9 -10 -10 -10 -10 -10 -10 -10 -10 -9 -11 -10 -10 -9 -11 -8 -11 -8 -11 -9 -11 -9 -12 -9 -12 -8 -12 -9 -12 -8 0 0 0 0 0 0 0 0 0 0 ],1717575983.1632495
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019467448,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 11 12 11 11 11 13 11 13 10 13 9 13 9 13 8 13 8 14 8 14 8 14 8 14 8 14 7 14 7 14 7 14 7 13 7 13 6 13 7 13 6 13 6 13 6 13 6 12 6 13 6 12 0 0 7 12 7 12 7 11 8 11 7 11 7 11 8 11 7 11 8 10 8 10 9 10 8 10 9 10 9 9 9 9 9 9 10 9 10 8 10 8 10 8 10 9 11 9 11 9 11 8 11 8 11 8 0 0 0 0 0 0 0 0 0 0 ],1717575983.1775188
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019477649,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -14 13 -13 15 -13 15 -12 15 -12 15 -11 15 -11 15 -10 16 -10 16 -10 16 -10 16 -10 16 -10 16 -9 16 -9 16 -8 15 -8 15 -8 15 -8 15 -8 15 -8 15 -8 14 -8 14 -8 15 -8 14 -8 0 0 14 -8 14 -8 14 -9 13 -9 13 -9 13 -9 13 -9 12 -10 13 -10 12 -10 12 -11 11 -11 12 -11 11 -11 11 -11 11 -11 11 -12 10 -12 11 -12 10 -12 10 -12 11 -13 10 -13 10 -14 10 -13 10 -14 0 0 0 0 0 0 0 0 0 0 ],1717575983.1946409
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019489482,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 11 -16 10 -17 10 -17 9 -17 9 -17 8 -17 8 -17 7 -17 7 -18 7 -18 6 -18 6 -18 6 -18 6 -17 5 -18 5 -17 5 -17 5 -17 5 -17 5 -17 5 -17 5 -16 5 -16 5 -16 5 -16 5 0 0 -15 5 -16 6 -15 6 -15 6 -14 6 -15 6 -15 6 -14 7 -15 7 -14 7 -14 8 -14 8 -14 8 -13 8 -13 9 -13 9 -13 9 -13 9 -13 10 -13 10 -13 10 -13 10 -13 11 -12 11 -13 11 -12 11 0 0 0 0 0 0 0 0 0 0 ],1717575983.211055
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019507662,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 -19 -5 -19 -4 -20 -4 -20 -3 -20 -3 -19 -2 -19 -1 -19 -1 -19 -1 -19 0 -19 0 -19 0 -19 0 -19 1 -19 1 -19 1 -18 1 -18 1 -17 1 -18 1 -17 2 -17 1 -17 1 -16 1 -17 1 -17 0 0 0 -17 0 -17 0 -16 0 -16 0 -16 0 -16 -1 -16 -1 -16 -1 -16 -2 -16 -2 -16 -2 -16 -2 -16 -3 -16 -3 -16 -3 -16 -3 -17 -4 -15 -4 -16 -4 -16 -4 -16 -4 -17 -5 -16 -5 -16 -5 -16 -5 -16 0 0 0 0 0 0 0 0 0 0 ],1717575983.2280843
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019509940,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -14 13 -14 13 -14 14 -13 14 -13 14 -12 15 -11 15 -11 15 -11 15 -10 15 -10 16 -10 16 -9 16 -9 16 -9 15 -9 15 -8 15 -8 15 -8 15 -8 15 -7 15 -8 14 -8 14 -8 15 -8 14 -8 0 0 13 -8 14 -8 13 -8 13 -9 12 -9 13 -9 13 -9 12 -9 13 -9 12 -10 12 -10 12 -10 12 -10 12 -11 11 -11 11 -11 11 -11 10 -11 11 -11 10 -12 11 -12 10 -12 11 -13 10 -13 10 -12 10 -12 0 0 0 0 0 0 0 0 0 0 ],1717575983.2452252
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019517453,0,84,0,0,11609.6,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 -18 -7 -18 -7 -19 -7 -19 -6 -20 -5 -18 -4 -19 -4 -19 -4 -19 -4 -20 -4 -19 -3 -19 -3 -19 -3 -19 -2 -19 -2 -19 -2 -18 -2 -18 -2 -18 -1 -18 -1 -18 -1 -18 -1 -17 -2 -17 -2 -17 -2 -17 0 0 -2 -17 -2 -17 -2 -16 -3 -17 -3 -16 -3 -16 -3 -16 -3 -16 -3 -16 -4 -16 -5 -16 -5 -16 -5 -16 -5 -15 -5 -16 -6 -15 -6 -16 -6 -16 -6 -15 -6 -16 -6 -16 -7 -16 -7 -16 -8 -15 -7 -15 -7 -15 0 0 0 0 0 0 0 0 0 0 ],1717575983.2630742
0CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019653564,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 12 -15 11 -17 11 -17 11 -17 10 -16 9 -17 9 -17 8 -17 8 -18 8 -18 7 -18 7 -18 7 -18 6 -17 6 -18 7 -17 6 -17 6 -17 5 -17 6 -17 5 -16 6 -16 5 -16 5 -17 5 -15 6 0 0 -15 6 -16 7 -14 6 -15 7 -14 6 -14 7 -14 7 -14 7 -14 8 -14 8 -14 8 -14 8 -13 8 -13 9 -13 9 -12 9 -13 10 -12 10 -12 10 -12 10 -12 10 -12 11 -12 11 -12 11 -12 11 -12 11 0 0 0 0 0 0 0 0 0 0 ],1717575983.2840905
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019659305,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 8 -17 7 -19 7 -18 6 -19 6 -18 5 -18 4 -18 4 -19 4 -19 3 -18 3 -19 2 -19 2 -19 2 -18 2 -19 2 -17 2 -18 2 -17 1 -17 2 -17 1 -17 1 -17 2 -17 2 -17 1 -16 2 0 0 -16 2 -16 2 -16 3 -16 3 -15 3 -15 3 -16 4 -16 4 -16 5 -15 5 -15 5 -15 5 -15 5 -15 6 -15 6 -14 6 -15 6 -14 6 -14 7 -14 7 -14 7 -15 7 -15 8 -14 8 -15 8 -14 8 0 0 0 0 0 0 0 0 0 0 ],1717575983.300083
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019668208,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 -11 -16 -12 -15 -13 -16 -14 -14 -14 -14 -14 -13 -14 -13 -14 -12 -15 -12 -15 -12 -15 -12 -15 -12 -15 -11 -16 -11 -16 -11 -15 -10 -15 -10 -14 -10 -15 -10 -15 -10 -15 -9 -15 -10 -14 -9 -14 -10 -15 -10 -14 0 0 -10 -14 -10 -13 -10 -14 -10 -13 -10 -13 -10 -13 -10 -13 -10 -12 -10 -12 -11 -12 -11 -12 -11 -12 -12 -12 -12 -11 -11 -11 -12 -11 -12 -11 -12 -11 -12 -11 -12 -11 -13 -11 -13 -11 -13 -10 -13 -10 -14 -11 -14 -10 0 0 0 0 0 0 0 0 0 0 ],1717575983.3195846
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019678302,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 6 -18 5 -19 5 -20 4 -20 4 -19 3 -19 2 -19 2 -19 1 -20 2 -19 1 -19 2 -19 1 -19 1 -19 0 -19 0 -18 0 -18 0 -18 0 -18 -1 -18 -1 -18 -1 -17 0 -17 1 -17 0 -17 1 0 0 -17 0 -17 1 -16 1 -17 1 -16 1 -16 1 -17 1 -16 2 -16 2 -16 3 -16 4 -16 4 -16 4 -16 4 -16 4 -15 5 -16 5 -15 5 -16 5 -16 5 -16 5 -16 5 -16 6 -15 7 -16 7 -15 7 0 0 0 0 0 0 0 0 0 0 ],1717575983.3356538
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019689441,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 12 -15 12 -14 13 -14 13 -13 14 -14 14 -12 15 -12 15 -11 15 -11 16 -11 15 -11 16 -10 16 -10 15 -10 15 -9 15 -10 14 -9 15 -10 14 -9 15 -9 15 -9 14 -9 14 -9 14 -8 14 -9 13 -9 0 0 13 -9 13 -10 13 -10 13 -10 12 -10 12 -10 12 -10 11 -10 12 -10 11 -11 11 -11 11 -11 11 -11 10 -12 10 -12 10 -12 10 -13 9 -13 9 -13 9 -13 10 -13 9 -14 10 -14 9 -14 9 -13 9 -14 0 0 0 0 0 0 0 0 0 0 ],1717575983.3527942
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019699596,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -17 5 -17 4 -18 4 -18 3 -18 3 -17 2 -18 1 -17 1 -18 1 -17 0 -17 0 -17 0 -18 0 -17 -1 -17 -1 -17 -1 -16 -1 -16 -1 -16 -2 -16 -2 -16 -2 -16 -2 -15 -1 -15 -1 -16 -1 -15 -1 0 0 -15 -1 -15 0 -15 -1 -15 0 -14 0 -15 0 -15 0 -14 0 -15 1 -14 1 -14 1 -15 1 -15 2 -15 2 -14 2 -14 2 -15 2 -14 3 -14 2 -14 3 -15 3 -15 3 -15 4 -14 4 -15 4 -14 4 0 0 0 0 0 0 0 0 0 0 ],1717575983.3693206
CSI_DATA,AP,B0:A7:32:D7:5B:54,-43,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,3019712643,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 4 18 4 18 3 18 3 19 2 19 1 18 1 18 0 18 0 18 0 19 -1 18 -1 18 -1 18 -2 18 -2 18 -2 18 -2 17 -2 17 -2 17 -2 16 -3 17 -2 16 -2 16 -2 16 -2 17 -1 15 0 0 -1 16 -1 16 -1 15 0 15 0 15 0 15 0 15 0 15 0 15 1 15 2 14 1 15 2 15 2 15 3 15 3 14 3 15 3 14 3 14 4 14 3 15 4 15 4 15 5 15 5 15 5 15 0 0 0 0 0 0 0 0 0 0 ],1717575983.3841305
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019716496,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -11 -14 -10 -14 -11 -15 -10 -15 -10 -16 -8 -15 -8 -15 -8 -16 -8 -16 -7 -17 -7 -16 -6 -17 -6 -16 -6 -16 -6 -16 -6 -16 -6 -15 -6 -16 -5 -15 -5 -15 -5 -15 -6 -15 -5 -15 -5 -14 -5 -15 -5 -14 0 0 -6 -14 -6 -14 -6 -13 -6 -14 -6 -13 -6 -13 -7 -14 -7 -13 -7 -13 -8 -13 -8 -13 -8 -12 -8 -12 -8 -12 -9 -12 -9 -11 -9 -13 -9 -11 -9 -12 -10 -12 -9 -12 -10 -12 -10 -12 -10 -12 -10 -12 -10 -11 0 0 0 0 0 0 0 0 0 0 ],1717575983.402299
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019727906,0,84,0,0,11609.8,384,[84 -64 4 0 0 0 0 0 0 0 0 0 0 -19 0 -19 1 -20 1 -20 2 -20 2 -18 2 -19 3 -19 3 -19 4 -19 4 -18 5 -18 5 -18 5 -18 5 -18 5 -18 4 -17 4 -17 4 -17 4 -17 4 -17 4 -17 4 -16 4 -16 4 -16 4 -16 0 0 3 -16 3 -16 3 -16 2 -16 2 -16 2 -16 1 -16 1 -16 1 -16 0 -16 0 -16 0 -16 0 -16 -1 -16 -1 -17 -2 -16 -2 -17 -2 -16 -2 -16 -3 -16 -3 -16 -3 -17 -3 -17 -4 -17 -3 -17 -4 -16 0 0 0 0 0 0 0 0 0 0 ],1717575983.418688
CSI_DATA,AP,B0:A7:32:D7:5B:54,-44,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,3019739449,0,84,0,0,11609.9,384,[84 -64 4 0 0 0 0 0 0 0 0 0 16 0 16 2 17 2 17 3 17 3 16 3 16 4 16 4 16 4 16 4 16 5 16 5 16 5 16 5 15 5 15 5 14 5 14 5 14 5 15 5 14 5 15 5 13 5 14 4 14 4 13 4 0 0 13 4 14 3 14 3 14 2 13 2 14 2 14 2 13 2 14 1 13 1 13 0 13 0 14 0 14 0 14 0 13 -1 14 -1 14 -2 14 -1 14 -2 14 -2 14 -2 14 -3 14 -3 14 -3 14 -3 0 0 0 0 0 0 0 0 0 0 ],1717575983.4334598
